hour;sessions
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;9
16;24
17;12
18;9
19;16
20;18
21;14
22;4
23;6
24;1
25;2
26;3
27;0
28;2
29;1
30;0
31;10
32;20
33;22
34;29
35;33
36;9
37;17
38;27
39;22
40;27
41;23
42;18
43;22
44;13
45;11
46;13
47;10
48;3
49;3
50;1
51;0
52;0
53;0
54;0
55;5
56;11
57;11
58;13
59;9
60;5
61;10
62;10
63;6
64;14
65;8
66;10
67;10
68;5
69;10
70;4
71;5
72;4
73;1
74;1
75;0
76;0
77;0
78;1
79;0
80;1
81;4
82;4
83;4
84;6
85;3
86;2
87;6
88;7
89;4
90;2
91;5
92;5
93;1
94;3
95;5
96;0
97;0
98;0
99;0
100;1
101;0
102;0
103;0
104;2
105;5
106;2
107;3
108;6
109;6
110;8
111;8
112;7
113;8
114;4
115;4
116;5
117;6
118;4
119;3
120;3
121;0
122;0
123;1
124;0
125;0
126;0
127;4
128;14
129;13
130;15
131;11
132;8
133;13
134;13
135;20
136;20
137;14
138;10
139;14
140;9
141;11
142;5
143;5
144;1
145;1
146;0
147;0
148;0
149;0
150;0
151;3
152;8
153;20
154;5
155;8
156;8
157;11
158;14
159;12
160;15
161;13
162;11
163;16
164;18
165;14
166;10
167;5
168;4
169;2
170;0
171;0
172;1
173;0
174;0
175;2
176;6
177;14
178;22
179;6
180;6
181;7
182;15
183;15
184;19
185;10
186;12
187;7
188;20
189;11
190;8
191;4
192;0
193;2
194;0
195;0
196;0
197;0
198;1
199;1
200;14
201;8
202;10
203;13
204;6
205;14
206;21
207;16
208;19
209;15
210;23
211;21
212;30
213;25
214;18
215;11
216;1
217;2
218;0
219;0
220;0
221;0
222;4
223;7
224;19
225;41
226;15
227;7
228;17
229;14
230;13
231;17
232;25
233;14
234;15
235;13
236;15
237;11
238;14
239;7
240;7
241;2
242;1
243;0
244;0
245;0
246;1
247;5
248;4
249;11
250;4
251;12
252;8
253;7
254;10
255;8
256;6
257;10
258;6
259;7
260;9
261;5
262;1
263;3
264;2
265;1
266;0
267;0
268;0
269;1
270;0
271;0
272;0
273;7
274;6
275;9
276;3
277;3
278;4
279;5
280;9
281;9
282;10
283;4
284;10
285;12
286;4
287;2
288;1
289;2
290;0
291;0
292;0
293;0
294;1
295;6
296;14
297;16
298;13
299;14
300;19
301;11
302;10
303;18
304;10
305;9
306;11
307;10
308;14
309;11
310;15
311;10
312;2
313;1
314;0
315;0
316;0
317;0
318;0
319;3
320;8
321;17
322;21
323;11
324;5
325;5
326;14
327;8
328;19
329;10
330;9
331;7
332;8
333;13
334;10
335;8
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;2
344;7
345;6
346;10
347;3
348;3
349;4
350;8
351;4
352;18
353;6
354;9
355;8
356;11
357;9
358;8
359;9
360;4
361;1
362;0
363;0
364;0
365;0
366;0
367;2
368;3
369;11
370;5
371;9
372;4
373;13
374;8
375;16
376;18
377;9
378;10
379;8
380;5
381;10
382;12
383;6
384;3
385;1
386;0
387;1
388;0
389;0
390;2
391;1
392;9
393;8
394;9
395;8
396;3
397;10
398;12
399;9
400;9
401;9
402;2
403;4
404;8
405;6
406;4
407;2
408;1
409;2
410;0
411;0
412;0
413;0
414;1
415;1
416;4
417;6
418;4
419;4
420;2
421;1
422;8
423;4
424;2
425;7
426;7
427;5
428;6
429;0
430;4
431;2
432;0
433;1
434;0
435;0
436;0
437;0
438;0
439;0
440;2
441;1
442;3
443;2
444;3
445;2
446;4
447;7
448;13
449;2
450;4
451;6
452;5
453;5
454;7
455;0
456;2
457;1
458;0
459;0
460;0
461;0
462;1
463;3
464;18
465;13
466;5
467;8
468;4
469;8
470;13
471;14
472;6
473;11
474;1
475;5
476;7
477;6
478;2
479;3
480;2
481;0
482;0
483;0
484;0
485;0
486;0
487;5
488;5
489;10
490;8
491;10
492;3
493;3
494;7
495;8
496;12
497;9
498;6
499;7
500;12
501;9
502;3
503;4
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;2
512;9
513;5
514;14
515;7
516;6
517;7
518;10
519;12
520;13
521;7
522;4
523;1
524;7
525;2
526;8
527;6
528;3
529;0
530;0
531;0
